Name,Team,Opp,Pos,Salary,Fpts,Floor,Ceil
Josh Allen,BUF,CIN,QB,7800,26.785,16.9,36.015
Patrick Mahomes,KC,JAX,QB,8000,26.3025,17.45,34.895
Jalen Hurts,PHI,NYG,QB,7600,25.7575,16.07,35.73
Joe Burrow,CIN,BUF,QB,6500,21.175,12.52,29.145
Daniel Jones,NYG,PHI,QB,5800,20.2875,12.09,25.595
Trevor Lawrence,JAX,KC,QB,6000,18.7425,12.07,26.75
Dak Prescott,DAL,SF,QB,6100,18.07,10.93,25.41
Brock Purdy,SF,DAL,QB,5400,17.3275,10.2,23.78
Bills,BUF,CIN,DST,2900,7.1675,1.88,12.255
Eagles,PHI,NYG,DST,3200,6.935,2.26,12.61
Chiefs,KC,JAX,DST,3100,6.6525,1.75,12.345
49ers,SF,DAL,DST,3300,6.585,1.78,11.55
Cowboys,DAL,SF,DST,3000,5.5975,0.92,10.76
Bengals,CIN,BUF,DST,2400,5.1675,1.17,10.165
Giants,NYG,PHI,DST,2500,4.37,-0.18,8.865
Jaguars,JAX,KC,DST,2200,3.6075,-0.1,7.85
